date,next_date,daily_return,cumulative_value,objective,positions,cumulative_return
2025-01-02,2025-01-03,-0.018151179848710626,0.9818488201512894,-2.6459931383076194,"{'MO2501-C-6000.CFE': -0.0039004370668035736, 'MO2501-C-6100.CFE': -0.021637689735776004, 'MO2501-C-6200.CFE': -0.01863160072481341, 'MO2501-P-5400.CFE': -0.020620991022248004, 'MO2501-P-5500.CFE': -0.02347857487761175, 'MO2501-P-5600.CFE': -0.01036688943282115}",-0.01815117984871062
2025-01-03,2025-01-06,0.003818334971267561,0.9855978478377708,-2.73109559583434,"{'MO2501-C-5900.CFE': -0.015427644879565418, 'MO2501-C-6000.CFE': -0.022352599011857974, 'MO2501-C-6100.CFE': -0.0029198187959421614, 'MO2501-P-5300.CFE': -0.02936400738176228, 'MO2501-P-5400.CFE': -0.01927130325320249, 'MO2501-P-5500.CFE': -0.007248625073368265}",-0.014402152162229176
2025-01-06,2025-01-07,0.03688534056490875,1.0219519601153082,-3.121624507702799,"{'MO2501-C-5800.CFE': -0.012448628697596454, 'MO2501-C-5900.CFE': -0.024365756895355067, 'MO2501-C-6000.CFE': -0.006390184308493694, 'MO2501-P-5200.CFE': -0.02056698674310482, 'MO2501-P-5300.CFE': -0.02302099374515782, 'MO2501-P-5400.CFE': -0.0018856552829443797}",0.0219519601153082
2025-01-07,2025-01-08,-7.913546460853953e-05,1.0218710874721368,-2.3233607074541442,"{'MO2501-C-5700.CFE': -0.002066800718897415, 'MO2501-C-5800.CFE': -0.01142202169540531, 'MO2501-C-5900.CFE': -0.011187528785621908, 'MO2501-C-6000.CFE': -0.006745920484799018, 'MO2501-P-5300.CFE': -0.006210245408212431, 'MO2501-P-5400.CFE': -0.01318666440903551, 'MO2501-P-5500.CFE': -0.011233796914736763, 'MO2501-P-5600.CFE': -0.0014360196888623038}",0.02187108747213684
2025-01-08,2025-01-09,0.004696114832178356,1.026669911442589,-1.6966923375423297,"{'MO2502-C-5900.CFE': -0.01512397349058483, 'MO2502-C-6000.CFE': -0.03334897535534299, 'MO2502-C-6100.CFE': -0.024455431099304873, 'MO2502-C-6200.CFE': -0.009562006795242311, 'MO2502-P-5000.CFE': -0.00837865148471648, 'MO2502-P-5100.CFE': -0.021662160196652194, 'MO2502-P-5200.CFE': -0.02862320960549851, 'MO2502-P-5300.CFE': -0.02889694458892555, 'MO2502-P-5400.CFE': -0.0020989091816227077}",0.02666991144258901
2025-01-09,2025-01-10,-0.018467730878408268,1.0077096478171081,-1.7843205408125618,"{'MO2502-C-5900.CFE': -0.010634438619375698, 'MO2502-C-6000.CFE': -0.03183253605603561, 'MO2502-C-6100.CFE': -0.0250986830827728, 'MO2502-C-6200.CFE': -0.007317865146559278, 'MO2502-P-5000.CFE': -0.0036555253107359627, 'MO2502-P-5100.CFE': -0.022629571770498, 'MO2502-P-5200.CFE': -0.032561849820196616, 'MO2502-P-5300.CFE': -0.034865550655297936, 'MO2502-P-5400.CFE': -0.003132161882555052}",0.007709647817108145
2025-01-10,2025-01-13,0.002184968375748866,1.0099114615295255,-1.8869386097727046,"{'MO2502-C-5800.CFE': -0.014876838190901076, 'MO2502-C-5900.CFE': -0.03265335765040042, 'MO2502-C-6000.CFE': -0.023055697554152682, 'MO2502-C-6100.CFE': -0.006844427353248021, 'MO2502-P-5000.CFE': -0.02420759906396469, 'MO2502-P-5100.CFE': -0.03830500001828622, 'MO2502-P-5200.CFE': -0.041916153161212534, 'MO2502-P-5300.CFE': -0.0033410963623065884}",0.00991146152952549
2025-01-13,2025-01-14,-0.06019063734089168,0.9491242470021919,-2.0327483252015037,"{'MO2502-C-5800.CFE': -0.017516875118845376, 'MO2502-C-5900.CFE': -0.0424929515850407, 'MO2502-C-6000.CFE': -0.026709246750640733, 'MO2502-C-6100.CFE': -0.00205291722380694, 'MO2502-P-4950.CFE': -0.010793957840785434, 'MO2502-P-5000.CFE': -0.02178056405343015, 'MO2502-P-5100.CFE': -0.028619431678430247, 'MO2502-P-5200.CFE': -0.029317117934636785}",-0.05087575299780811
2025-01-14,2025-01-15,0.025024919848770154,0.9728760052099461,-2.014755133181358,"{'MO2502-C-6100.CFE': -0.028110772460807797, 'MO2502-C-6200.CFE': -0.04137104477899657, 'MO2502-C-6300.CFE': -0.026074137864475395, 'MO2502-P-5200.CFE': -0.008930997541580275, 'MO2502-P-5300.CFE': -0.03123504896009601, 'MO2502-P-5400.CFE': -0.03640572199440882, 'MO2502-P-5500.CFE': -0.01518049105292599}",-0.027123994790053896
2025-01-15,2025-01-16,0.0007883457689389687,0.9736429678923557,-1.9900268767196185,"{'MO2502-C-6000.CFE': -0.012302765798796295, 'MO2502-C-6100.CFE': -0.02705260487647872, 'MO2502-C-6200.CFE': -0.025973750407407573, 'MO2502-C-6300.CFE': -0.01524480589319841, 'MO2502-P-5100.CFE': -0.0015131364870802511, 'MO2502-P-5200.CFE': -0.01721595967891628, 'MO2502-P-5300.CFE': -0.026583086870078782, 'MO2502-P-5400.CFE': -0.02955645442563099, 'MO2502-P-5500.CFE': -0.010569892706313356}",-0.026357032107644285
