underlying,underlying_code,N,pass_rate_equal,rmse_median_equal,pass_rate_vega,rmse_median_vega
SSE 50,000016.SH,13373,0.7881260762147189,0.0001498429172345,0.9356142846447556,0.0001381216412795
CSI 300,000300.SH,15562,0.86073264781491,0.00010886548554495,0.9730077120822622,0.0001019652940256
CSI 1000,000852.SH,15536,0.8707518022657055,0.00013737035047805,0.9474768280123584,0.00013389969726185
Overall,ALL,44471,0.8424178345668459,0.0001306897926471,0.9528490765527636,0.00012282431489
