Strategy,R_tot,R_ann,sigma_ann,SR,SoR,MDD,CR,WR,GrossExp,AvgPos
BL Long-Short,4.029658837070204,2.1275457164823783,0.5127854709700779,2.4750173562518336,4.292224852940996,-0.2528016558717797,8.415869386399365,0.6862745098039216,0.10936079753121256,10.575418994413408
BL Long-Only,1.7144430227577026,1.0236135286217567,0.635961924001058,1.3567171022232223,4.941603597391015,-0.2819881212799846,3.629988114305765,0.4957983193277311,0.9999999940271904,34.25698324022346
Delta-Gamma Approximation,-0.16994607359263114,-0.1232039784617096,0.27254388347611824,-0.341131887434259,-0.42750007087954545,-0.3118667773362911,-0.39505323238985707,0.49859943977591037,0.9999999965623847,5.748603351955308
Historical Mean-Variance,-0.7411851987204621,-0.6148416022619301,1.2588376587736907,-0.12329374115257585,-0.17933766937090576,-0.8188054455161368,-0.7509007244991667,0.45098039215686275,0.9999998205837876,212.768156424581
