target_datetime,ths_underlying_code_option,ths_maturity_date_option,z0,z1,z2,z3,z4,z5,fit_status,fit_error,n_observations,n_unique_strikes,x_min,x_max,condition_number,fit_rmse,used_pinv,margin,margin_pass,margin_near_zero_abs_1e-10
2023-01-03 10:00:00,000016.SH,20230120,-2.2405637149277667e-05,1.0,-0.0037987091270205,7.010313259187146e-06,-0.0038744697526696,3.854056820947832e-06,success,,18,18,-0.1180855202327716,0.1368067293960184,1801549332.9184177,0.0003873800537181,False,1.7039055547025188e-10,False,False
2023-01-03 10:40:00,000016.SH,20230120,-2.039786611856443e-05,1.0,-0.0026334232880438,4.379406777706655e-06,-0.0037808861881244,3.646380765839181e-06,success,,18,18,-0.1226668730253464,0.1322253766034437,2237753942.5208187,0.0004093026034581,False,1.0857975890234906e-10,False,False
2023-01-03 11:20:00,000016.SH,20230120,-3.440427005306483e-05,1.0,-0.0010915340842758,1.957944719531105e-06,-0.0037563093212942,3.6319556341764343e-06,success,,18,18,-0.1230690701666064,0.1318231794621834,773933587.2544436,0.0004872938723847,False,2.322030055926309e-10,False,False
2023-01-03 13:10:00,000016.SH,20230120,-4.844247773585436e-05,1.0,0.0005211015140976,-8.279588218721871e-07,-0.0035551127285876,3.340953329665093e-06,success,,18,18,-0.1281135165973828,0.1267787330314072,681132329.2042707,0.0005547084887151,False,5.628646823263748e-10,False,False
2023-01-03 13:50:00,000016.SH,20230120,-4.180099596465764e-05,1.0,0.001289716411557,-2.6804813619989077e-06,-0.0036157433727114,3.4261216171742724e-06,success,,18,18,-0.1288846881583115,0.1260075614704782,936161704.5238284,0.0003658195179612,False,4.2809144230871167e-10,False,False
2023-01-03 14:30:00,000016.SH,20230120,-4.906974068922235e-05,1.0,0.0093841207952958,-1.5413976382083094e-05,-0.0030086892716557,2.4715213299280425e-06,success,,17,17,-0.1330092405760331,0.1050758907363757,2410884073.680968,0.0004652069062864,False,9.753337973263938e-10,False,False
2023-01-03 10:00:00,000016.SH,20230217,-9.77426774283289e-05,1.0,0.0059710972304956,-1.8812948228698945e-05,-0.0071765615323877,1.226479337255932e-05,success,,18,18,-0.1203992925498164,0.1344929570789735,3489096745.22846,4.8517993247422416e-05,False,-4.061201176084575e-09,True,False
2023-01-03 10:40:00,000016.SH,20230217,-7.295911412784262e-05,1.0,0.0071667257822968,-3.199858245315503e-05,-0.0072635382633655,1.2990024491770583e-05,success,,18,18,-0.1244260502039638,0.1304661994248263,3472363788.902135,8.184428356672046e-05,False,-5.263252833056015e-10,True,False
2023-01-03 11:20:00,000016.SH,20230217,-7.705112835107627e-05,1.0,-0.0002598739009098,1.6769687539673822e-06,-0.0073346666900771,1.3276174056795837e-05,success,,18,18,-0.1247283927176122,0.1301638569111779,3720642009.0536175,4.99093991765892e-05,False,-8.457001844931479e-10,True,False
2023-01-03 13:10:00,000016.SH,20230217,-0.0001541667834471,1.0,0.0008974995640117,-5.53577180113704e-06,-0.0061433180844727,8.341630610024701e-06,success,,17,17,-0.1299053119470528,0.1081798193653559,3736407283.850838,3.407221933893881e-05,False,-1.0679331069072887e-08,True,False
