group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
000016.SH,13373,13357,0.998803559410753,13357,10527,2830,0,0.7881260762147189,0.21187392378528114,-0.26280111150332996,-0.00037045134619016117,-6.032177796887266e-05,-2.4521758447611155e-07,-4.109232368802513e-05,5.6901707553424763e-08,1.4594187468522385e-05,149,0.01115519952085049,0.00026999110187489814,0.0001498429172345,256117364.76453763,3499950102.6224556,0,0
000300.SH,15562,15560,0.9998714818146768,15560,13393,2167,0,0.86073264781491,0.13926735218508998,-0.010515179639661084,-0.0005058753219228617,-8.82953907694018e-05,-1.125220097036293e-06,-2.6990983325644933e-05,1.5898399457801647e-07,0.00011020523189966461,58,0.0037275064267352186,0.00027845836085035235,0.00010886548554495,180226187.7628957,1931524891.0463777,0,0
000852.SH,15536,15536,1.0,15536,13528,2008,0,0.8707518022657055,0.12924819773429455,-0.10429714888787696,-0.0016408333373799469,-0.0003238768589393222,-1.6748796512278604e-06,-0.00010283672933289794,3.690265196303461e-07,0.011579386545171766,14,0.0009011328527291452,0.00045124677053161674,0.00013737035047805,79807329.47406507,1603185198.6996455,0,0
