group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
000016.SH,13373,13357,0.998803559410753,13357,12497,860,0,0.9356142846447556,0.06438571535524444,-0.2409785515636942,-0.0004208354686774683,-7.6579603023181e-05,-5.157467291665969e-07,-4.092212151272802e-05,2.7978356606603646e-10,5.7713608443969884e-06,150,0.011230066631728682,0.000232163847033736,0.0001381216412795,436655473.8731488,5489639780.222285,1,0
000300.SH,15562,15560,0.9998714818146768,15560,15140,420,0,0.9730077120822622,0.02699228791773779,-0.006118308421518894,-0.0005159696394480556,-0.00010452830971862847,-1.9650103796812244e-06,-2.794257485427121e-05,-2.7509733209434458e-09,2.1843200491835062e-05,52,0.0033419023136246786,0.00023799560477086434,0.0001019652940256,303550271.8523056,3054200092.292546,0,0
000852.SH,15536,15536,1.0,15536,14720,816,0,0.9474768280123584,0.05252317198764161,-0.0920094441500094,-0.001959637651140312,-0.00036994230566204494,-2.409428796390356e-06,-0.00010683363196768218,3.056854165433044e-10,0.010745406944036029,23,0.00148043254376931,0.0003964799304576015,0.00013389969726185,150065470.2719041,2205553285.669159,0,0
