target_datetime,ths_underlying_code_option,ths_maturity_date_option,z0,z1,z2,z3,z4,z5,fit_status,fit_error,n_observations,n_unique_strikes,x_min,x_max,condition_number,fit_rmse,used_pinv
2023-01-03 10:00:00,000016.SH,20230120,-2.2734124666608044e-05,1.0,-0.003803977923205594,6.881353930622327e-06,-0.0036744102070485367,3.418041891769838e-06,success,,18,18,-0.11808552023277186,0.1368067293960183,7872266727.898838,0.00033062126455515374,False
2023-01-03 10:40:00,000016.SH,20230120,-1.8034198873756415e-05,1.0,-0.002504875184902885,4.1633835444319074e-06,-0.003694628992883548,3.422652955080072e-06,success,,18,18,-0.12266687302534642,0.1322253766034437,12328416771.103481,0.0003914329448063656,False
2023-01-03 11:20:00,000016.SH,20230120,-2.3497410613556136e-05,1.0,-0.0007002758591856383,1.0238011706879613e-06,-0.003773596694127932,3.545407519052753e-06,success,,18,18,-0.12306907016660644,0.13182317946218347,3849896961.1853657,0.0005094697067565875,False
2023-01-03 13:10:00,000016.SH,20230120,-2.314730947917e-05,1.0,0.0009990006528349394,-2.2438910770393023e-06,-0.00381348833831582,3.617582355418228e-06,success,,18,18,-0.12811351659738288,0.1267787330314072,3715677119.5037875,0.0005847330086037515,False
2023-01-03 13:50:00,000016.SH,20230120,-2.6656554779042313e-05,1.0,0.0010523911269676013,-2.3396020816180857e-06,-0.0036580310617306067,3.3534590094794605e-06,success,,18,18,-0.12888468815831153,0.12600756147047829,3645538466.8695664,0.00042269536513992785,False
2023-01-03 14:30:00,000016.SH,20230120,-5.1587400321711855e-05,1.0,0.007599285204181779,-1.2001571956450401e-05,-0.002949929807567589,2.268594287633023e-06,success,,17,17,-0.1330092405760331,0.10507589073637573,8369508195.938463,0.00044095232459352886,False
2023-01-03 10:00:00,000016.SH,20230217,-0.00010418359492159245,1.0,0.006313073364518897,-1.9428875886170838e-05,-0.006885857550985996,1.0942505150535133e-05,success,,18,18,-0.12039929254981642,0.13449295707897355,5361313447.518651,4.3362645894070286e-05,False
2023-01-03 10:40:00,000016.SH,20230217,-6.98131807814377e-05,1.0,0.006565078698677921,-2.9147625331370595e-05,-0.007182161765223183,1.2606117090823155e-05,success,,18,18,-0.12442605020396387,0.13046619942482637,5538448771.565445,6.771917281881578e-05,False
2023-01-03 11:20:00,000016.SH,20230217,-8.36379434207428e-05,1.0,4.230995136930215e-05,4.2362502719156264e-07,-0.007117601081389084,1.2351326071223134e-05,success,,18,18,-0.12472839271761225,0.1301638569111779,5334187275.613649,4.36849763967451e-05,False
2023-01-03 13:10:00,000016.SH,20230217,-0.0001413915079796817,1.0,0.0004772166935685208,-3.389043147420358e-06,-0.00628498395861116,8.901240943438649e-06,success,,17,17,-0.12990531194705285,0.10817981936535596,5047404262.058584,3.357699425718627e-05,False
2023-01-03 13:50:00,000016.SH,20230217,-0.0002517467031031521,1.0,0.009812216396612556,-3.9158466341295875e-05,-0.0055413619782205825,6.341615878882108e-06,success,,18,18,-0.1312939032088589,0.12359834641993103,1671235257.5759192,9.159740688461762e-05,False
2023-01-03 14:30:00,000016.SH,20230217,-0.00020793713031621054,1.0,0.009466805967946856,-3.772888943184815e-05,-0.005597613750235145,6.509816727311637e-06,success,,18,18,-0.1349531385192171,0.11993911110957285,2379477162.262537,6.0267992093460834e-05,False
2023-01-03 10:00:00,000016.SH,20230317,-6.138495530041192e-05,1.0,-0.013552555269303072,0.00010314211256902102,-0.013947670656445638,4.8354505869912445e-05,success,,18,18,-0.12184238621875716,0.13304986341003294,7657238258.7773,7.635693989465112e-05,False
2023-01-03 10:40:00,000016.SH,20230317,-6.170132606663475e-05,1.0,-0.011194300255471338,7.9207072435178e-05,-0.013706009617291483,4.684390830662519e-05,success,,18,18,-0.12676459817180843,0.12812765145698168,6224869968.646779,0.0001023398671242629,False
2023-01-03 11:20:00,000016.SH,20230317,-7.216417692180716e-05,1.0,-0.010692309906444463,7.5016905039555e-05,-0.013130621207340076,4.278107520303417e-05,success,,18,18,-0.12727234233516177,0.12761990729362818,5917020342.258085,7.307594890265777e-05,False
2023-01-03 13:10:00,000016.SH,20230317,-6.663753800325365e-05,1.0,-0.004366733429629947,2.7164865810606735e-05,-0.013244768218652224,4.365293525611697e-05,success,,18,18,-0.13215716137242756,0.12273508825636248,4403722327.66015,8.015827782579381e-05,False
2023-01-03 13:50:00,000016.SH,20230317,-7.402921724589759e-05,1.0,-0.009897594291066722,6.640230009380353e-05,-0.012053108105360276,3.513219966557185e-05,success,,18,18,-0.13310367630371783,0.12178857332507223,11533534200.756567,4.1956906651568766e-05,False
2023-01-03 14:30:00,000016.SH,20230317,-6.346403331240434e-05,1.0,0.00023250140215045427,-3.180207258060523e-06,-0.013366204622945915,4.455710748234635e-05,success,,16,16,-0.13592951094994624,0.11896273867884379,4047757933.5726647,8.240279378606035e-05,False
2023-01-03 10:00:00,000300.SH,20230120,-0.0006003588367355183,1.0,0.015434301399478233,-2.1766473726299875e-05,0.0022333569703979917,-5.115442852520676e-06,success,,26,26,-0.19924437866274972,0.13495770942392393,628692840.2727628,0.0002007412586214236,False
2023-01-03 10:40:00,000300.SH,20230120,-0.00020441843123420787,1.0,0.002862990708806581,-2.144038437297439e-06,-0.0013026691535027136,4.219123463718138e-08,success,,26,26,-0.20502235778130162,0.12917973030537216,1889556702.1770928,0.0001861759521761451,False
2023-01-03 11:20:00,000300.SH,20230120,-0.0013457257781177812,1.0,0.039765448546465056,-5.253370159556396e-05,0.01149233160210573,-1.6664254520987296e-05,success,,26,26,-0.20594496784076688,0.12825712024590682,542114099.3100065,0.00010936363111978038,False
2023-01-03 13:10:00,000300.SH,20230120,-0.0008431298892104227,1.0,0.029328565829745645,-3.464626753546815e-05,0.006757759848171068,-1.0552372992434451e-05,success,,26,26,-0.21073116567276717,0.12347092241390632,703098562.0350703,0.00014049679097462764,False
2023-01-03 13:50:00,000300.SH,20230120,-0.000733801136511498,1.0,0.030468309237717033,-4.1551439054931974e-05,0.005812910147746691,-9.36548553161158e-06,success,,26,26,-0.21154447396994336,0.12265761411673037,701097229.4827181,0.00023867610501137574,False
2023-01-03 14:30:00,000300.SH,20230120,-0.0003310889848361425,1.0,0.024385898527325825,-3.91639544988443e-05,0.0013061473026459236,-3.490266530269201e-06,success,,26,26,-0.21568411806596013,0.1185179700207136,1327117677.896266,0.0004662714983800919,False
2023-01-03 10:00:00,000300.SH,20230217,-0.0002173957579428701,1.0,0.0007195181988337513,1.6719860165879714e-06,-0.005274874076460727,6.037365468847151e-06,success,,22,22,-0.14032518673618888,0.1323190083510515,1779641147.0077488,6.484339258571841e-05,False
2023-01-03 10:40:00,000300.SH,20230217,-0.00024263932584032302,1.0,-0.0006172148643663199,5.016968112651802e-06,-0.004867302492547878,4.7872789372511275e-06,success,,22,22,-0.14617448624517676,0.12646970884206368,1687076343.0242496,5.9194095657062386e-05,False
2023-01-03 11:20:00,000300.SH,20230217,-0.00019348047268176292,1.0,-0.0032129846816605677,1.436120841514362e-05,-0.005041740220260543,5.519393283434596e-06,success,,22,22,-0.14687027564360644,0.12577391944363375,2008996148.0329556,7.01976510202728e-05,False
2023-01-03 13:10:00,000300.SH,20230217,-0.0001712271619387629,1.0,0.0034177755477154447,-9.553315030552183e-06,-0.0054352736280378015,6.964338706269689e-06,success,,22,22,-0.15172499542601608,0.12091919966122423,1905682977.712817,8.006805482138922e-05,False
2023-01-03 13:50:00,000300.SH,20230217,-0.00014996611697603578,1.0,0.006835069705367227,-2.1298607816757058e-05,-0.005301769054204943,6.541209966138082e-06,success,,22,22,-0.15284790446921878,0.11979629061802156,2116627974.290849,9.227673398933826e-05,False
2023-01-03 14:30:00,000300.SH,20230217,-0.00010215844560551475,1.0,0.004650256933197955,-1.212348409203317e-05,-0.005566651625800832,7.277442685901985e-06,success,,22,22,-0.15683900538392373,0.11580518970331644,3654387946.224229,5.930061183091194e-05,False
2023-01-03 10:00:00,000300.SH,20230317,-0.004183076193255026,1.0,-0.04225472129910216,0.0004031834746627129,0.018428395334304664,-0.00015955122131225264,success,,30,30,-0.22093460328293882,0.25710119766006106,32108805.232502498,0.00014257448271697747,False
2023-01-03 10:40:00,000300.SH,20230317,-0.003833529921777156,1.0,-0.032727929016508166,0.0003344359734352905,0.013344568556623663,-0.00012019643321028569,success,,30,30,-0.22625821719118672,0.25177758375181286,28293002.058860406,0.0001943421173237726,False
2023-01-03 11:20:00,000300.SH,20230317,-0.0017197171545608448,1.0,-0.033321887594888897,0.00030945328452929016,-0.0015646372332921074,-2.8000184969519146e-05,success,,30,30,-0.22753499891434137,0.2505008020286587,41197298.94506746,0.00018938601128392176,False
2023-01-03 13:10:00,000300.SH,20230317,-0.0047811059117064715,1.0,-0.003841968160763339,0.00015690942107970702,0.0129643370318752,-0.0001147097237836015,success,,30,30,-0.23187498806220413,0.24616081288079564,16516953.630526114,0.0003208083109322544,False
2023-01-03 13:50:00,000300.SH,20230317,-0.0032244991690078655,1.0,-0.019168884761775962,0.00017287380878931613,0.005847773837581866,-6.89268990502751e-05,success,,30,30,-0.23325346741532113,0.24478233352767853,24041826.12661154,0.00022501323991741353,False
2023-01-03 14:30:00,000300.SH,20230317,-0.0026001347835217284,1.0,-0.018073865452298245,0.00016137423384549924,0.002012948417366944,-4.941224039392603e-05,success,,29,29,-0.20502247661947523,0.2412646260089443,32365172.50326347,0.00026268943887191524,False
2023-01-03 10:00:00,000852.SH,20230120,-0.0010533496635487547,1.0,-0.003776081138125147,4.2479527269047045e-05,0.0045968341529025155,-7.5034347728605825e-06,success,,20,20,-0.13740861857788866,0.15932328939381027,532895591.5420989,0.0001116677362333,False
2023-01-03 10:40:00,000852.SH,20230120,-0.0011638847160810395,1.0,-0.0015239310502556092,2.9771719658520043e-05,0.005417779755518224,-8.019490927704361e-06,success,,20,20,-0.14577181370177178,0.16438311460206773,426239478.8984667,0.00012531812921423685,False
2023-01-03 11:20:00,000852.SH,20230120,-0.001408139461146996,1.0,0.004388421857021394,2.06058548890986e-05,0.00699666576713192,-9.445823516564317e-06,success,,21,21,-0.14707279595013464,0.16308213235370494,384078815.3941272,0.00011026269098731578,False
2023-01-03 13:10:00,000852.SH,20230120,-0.0015621848829724056,1.0,0.00017976671411121522,3.063288645350222e-05,0.009210677601314247,-1.2454830746616661e-05,success,,21,21,-0.151800463989748,0.15835446431409148,500376551.34033084,6.857626687869661e-05,False
2023-01-03 13:50:00,000852.SH,20230120,-0.0015216813888302304,1.0,0.004661741667973486,1.3782082556888688e-05,0.007670121510284109,-1.0359809087982539e-05,success,,21,21,-0.15361002525857972,0.15654490304525986,393838021.1271858,7.850642911051493e-05,False
2023-01-03 14:30:00,000852.SH,20230120,-0.0008786980709557377,1.0,-0.0010450737070763112,5.856950300667853e-07,0.0038460343006104245,-6.459509299702073e-06,success,,20,20,-0.15666603942556,0.15348888887827947,644384437.953703,0.00011795347623476994,False
2023-01-03 10:00:00,000852.SH,20230217,-0.0021301735669512485,1.0,0.014004836805528395,1.980056412284372e-05,0.005850922208626721,-3.179143931463891e-05,success,,20,20,-0.1353364301147368,0.16139547785696182,235635773.5318163,9.08497128510354e-05,False
2023-01-03 10:40:00,000852.SH,20230217,-0.0019453796971950963,1.0,0.016666365896621533,1.1655038597240954e-08,0.006213501747745004,-3.1986183914016796e-05,success,,20,20,-0.14284811841388026,0.15388378955781848,283175219.0430919,9.188123030167115e-05,False
2023-01-03 11:20:00,000852.SH,20230217,-0.0023441797957946178,1.0,0.008510620244844197,6.671081896238397e-05,0.011085370956358248,-4.728006094722537e-05,success,,20,20,-0.14412206745283054,0.1526098405188684,350008301.10088015,5.5076894975297064e-05,False
2023-01-03 13:10:00,000852.SH,20230217,-0.0017616574927750027,1.0,0.012005094375873302,2.992111187144686e-05,0.0060059696989524835,-2.9823967167827548e-05,success,,20,20,-0.14898720976047494,0.1477446982112239,337914964.1972943,7.155698263128293e-05,False
2023-01-03 13:50:00,000852.SH,20230217,-0.0025090477450590135,1.0,0.004466646194268186,0.00010445975780503109,0.011025923485766304,-4.6194589709875765e-05,success,,20,20,-0.15077817017889864,0.1459537377928002,307886601.93322194,5.3625160349469694e-05,False
2023-01-03 14:30:00,000852.SH,20230217,-0.0022008515072915583,1.0,0.027019701503357554,7.781299507691477e-06,0.007838650762269701,-3.625577985585213e-05,success,,20,20,-0.1535182132665087,0.1432136947051902,268673165.8115312,7.248627720392259e-05,False
2023-01-03 10:00:00,000852.SH,20230317,-0.00787179719187362,1.0,-0.05953627501208516,0.0006677664607998991,0.04038716689240267,-0.0002946450621371388,success,,25,25,-0.18717877649660344,0.2682967521862224,24778251.877195913,0.00013218465784005785,False
2023-01-03 10:40:00,000852.SH,20230317,-0.007493695043164947,1.0,-0.03572435213436651,0.0005543859344687838,0.03213255932102845,-0.00023161447982847155,success,,25,25,-0.19477660551985718,0.2606989231629685,19307446.152679924,0.00022397298217468792,False
