date,next_date,lambda_10000_delta_5_daily_return,lambda_10000_delta_5_cumulative_return,lambda_12000_delta_5_daily_return,lambda_12000_delta_5_cumulative_return,lambda_14000_delta_5_daily_return,lambda_14000_delta_5_cumulative_return,lambda_16000_delta_5_daily_return,lambda_16000_delta_5_cumulative_return,lambda_18000_delta_5_daily_return,lambda_18000_delta_5_cumulative_return,lambda_20000_delta_5_daily_return,lambda_20000_delta_5_cumulative_return,lambda_10000_delta_3_daily_return,lambda_10000_delta_3_cumulative_return,lambda_10000_delta_4_daily_return,lambda_10000_delta_4_cumulative_return,lambda_10000_delta_5_delta_sweep_daily_return,lambda_10000_delta_5_delta_sweep_cumulative_return,lambda_10000_delta_6_daily_return,lambda_10000_delta_6_cumulative_return,lambda_10000_delta_7_daily_return,lambda_10000_delta_7_cumulative_return,lambda_10000_delta_8_daily_return,lambda_10000_delta_8_cumulative_return,lambda_10000_delta_9_daily_return,lambda_10000_delta_9_cumulative_return
2025-01-02,2025-01-03,-0.0172786452704338,-0.0172786452704338,-0.0172398317470241,-0.0172398317470241,-0.0172357264757672,-0.0172357264757673,-0.0172435401491985,-0.0172435401491986,-0.0171808652215548,-0.0171808652215549,-0.01707892442180772,-0.017078924421807695,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338,-0.0172786452704338
2025-01-03,2025-01-06,0.0042603313808872,-0.0130919266442116,0.0043554355513597,-0.0129594831717548,0.0040063036350729,-0.0132984743943272,0.003737688224234,-0.0135703029019241,0.0036013194042731,-0.0136414196005862,0.0035186806874287885,-0.013620339015903982,0.0042603313808872,-0.0130919266442116,0.0042603313808872,-0.0130919266442116,0.0042603313808872,-0.0130919266442116,0.0042603313808872,-0.0130919266442116,0.0042603313808872,-0.0130919266442116,0.0042603313808872,-0.0130919266442116,0.0042603313808872,-0.0130919266442116
2025-01-06,2025-01-07,0.0363364284259868,0.0227687879263094,0.0362325082464248,0.0228034704937798,0.0361578917730536,0.0223785725808294,0.0361016371957553,0.0220414241418294,0.0360581433887632,0.0219248395241926,0.035795571130944254,0.021687684300969012,0.0363364284259868,0.0227687879263094,0.0363364284259868,0.0227687879263094,0.0363364284259868,0.0227687879263094,0.0363364284259868,0.0227687879263094,0.0363364284259868,0.0227687879263094,0.0363364284259868,0.0227687879263094,0.0363364284259868,0.0227687879263094
2025-01-07,2025-01-08,0.0004815261092974,0.0232612778014704,0.0003288097945409,0.0231397782927689,0.0002204217345315,0.0226039270391456,0.0001391306895245,0.0221836214698929,7.590432118572549e-05,0.0220024080354395,4.010069659215977e-05,0.021728654688809135,0.0004815261092974,0.0232612778014704,0.0004815261092974,0.0232612778014704,0.0004815261092974,0.0232612778014704,0.0004815261092974,0.0232612778014704,0.0004815261092974,0.0232612778014704,0.0004815261092974,0.0232612778014704,0.0004815261092974,0.0232612778014704
2025-01-08,2025-01-09,0.0047318755223421,0.0281032227948598,0.0047015148501319,0.0279500851541729,0.0046993706257906,0.0274095218956913,0.0047022260144815,0.0269901598863455,0.0047124048433298,0.0268184971329603,0.0047276688966003885,0.02655904947034693,0.0047318755223421,0.0281032227948598,0.0047318755223421,0.0281032227948598,0.0047318755223421,0.0281032227948598,0.0047318755223421,0.0281032227948598,0.0047318755223421,0.0281032227948598,0.0047318755223421,0.0281032227948598,0.0047318755223421,0.0281032227948598
2025-01-09,2025-01-10,-0.0179146620578187,0.0096851009979355,-0.0177192154328303,0.0097356161411297,-0.0175796322272103,0.0093480403540311,-0.0174426681750352,0.0090767113084215,-0.0172957303990394,0.0090589212378018,-0.01715385530720965,0.008949604071425865,-0.0179146620578187,0.0096851009979355,-0.0179146620578187,0.0096851009979355,-0.0179146620578187,0.0096851009979355,-0.0179146620578187,0.0096851009979355,-0.0179146620578187,0.0096851009979355,-0.0179146620578187,0.0096851009979355,-0.0179146620578187,0.0096851009979355
2025-01-10,2025-01-13,0.002072209943671,0.0117773805041998,0.0021382020313429,0.0118946348866819,0.0021853392368228,0.0115538082302271,0.0022070498023252,0.0113037938646458,0.0022216680249585,0.011300715178415,0.002233198785067002,0.01120278910143191,0.002072209943671,0.0117773805041998,0.002072209943671,0.0117773805041998,0.002072209943671,0.0117773805041998,0.002072209943671,0.0117773805041998,0.002072209943671,0.0117773805041998,0.002072209943671,0.0117773805041998,0.002072209943671,0.0117773805041998
2025-01-13,2025-01-14,-0.0605994461752038,-0.0495357684069531,-0.0603513279568252,-0.0491745500811161,-0.0601779614436519,-0.0493194378396307,-0.0599723427980308,-0.0493464639339538,-0.0597217600933322,-0.0490959435156855,-0.059523466572778586,-0.04898750631394766,-0.0605994461752038,-0.0495357684069531,-0.0605994461752038,-0.0495357684069531,-0.0605994461752038,-0.0495357684069531,-0.0605994461752038,-0.0495357684069531,-0.0605994461752038,-0.0495357684069531,-0.0605994461752038,-0.0495357684069531,-0.0605994461752038,-0.0495357684069531
2025-01-14,2025-01-15,0.0250427590060896,-0.0257335217112604,0.024678003949792,-0.0257100758724551,0.0243750724151748,-0.0261465302932727,0.024147873764212,-0.0263902023515291,0.023971163702352,-0.0263016667124694,0.02365575553781729,-0.026490587249900277,0.0250427590060896,-0.0257335217112604,0.0250427590060896,-0.0257335217112604,0.0250427590060896,-0.0257335217112604,0.0250427590060896,-0.0257335217112604,0.0250427590060896,-0.0257335217112604,0.0250427590060896,-0.0257335217112604,0.0250427590060896,-0.0257335217112604
2025-01-15,2025-01-16,0.0007883457689389,-0.0249654628552823,0.0009021250048074,-0.0248311445699676,0.0009978339040004,-0.0251747862836708,0.0010707689829716,-0.0253476911786898,0.0011311304876353,-0.0252002868419282,0.0011548333857360025,-0.02536634607872812,0.0007883457689389,-0.0249654628552823,0.0007883457689389,-0.0249654628552823,0.0007883457689389,-0.0249654628552823,0.0007883457689389,-0.0249654628552823,0.0007883457689389,-0.0249654628552823,0.0007883457689389,-0.0249654628552823,0.0007883457689389,-0.0249654628552823
