target_datetime,ths_underlying_code_option,ths_maturity_date_option,z0,z1,z2,z3,z4,z5,fit_status,fit_error,n_observations,n_unique_strikes,x_min,x_max,condition_number,fit_rmse,used_pinv,margin,margin_pass,margin_near_zero_abs_1e-10
2023-01-03 10:00:00,000016.SH,20230120,-2.2734124666608044e-05,1.0,-0.0038039779232055,6.881353930622327e-06,-0.0036744102070485,3.418041891769838e-06,success,,18,18,-0.1180855202327718,0.1368067293960183,7872266727.898838,0.0003306212645551,False,7.223076631587587e-11,False,True
2023-01-03 10:40:00,000016.SH,20230120,-1.803419887375641e-05,1.0,-0.0025048751849028,4.1633835444319074e-06,-0.0036946289928835,3.422652955080072e-06,success,,18,18,-0.1226668730253464,0.1322253766034437,12328416771.10348,0.0003914329448063,False,1.6092180557899788e-11,False,True
2023-01-03 11:20:00,000016.SH,20230120,-2.3497410613556136e-05,1.0,-0.0007002758591856,1.0238011706879613e-06,-0.0037735966941279,3.545407519052753e-06,success,,18,18,-0.1230690701666064,0.1318231794621834,3849896961.1853657,0.0005094697067565,False,-2.0655373385958943e-11,True,True
2023-01-03 13:10:00,000016.SH,20230120,-2.314730947917e-05,1.0,0.0009990006528349,-2.2438910770393023e-06,-0.0038134883383158,3.617582355418228e-06,success,,18,18,-0.1281135165973828,0.1267787330314072,3715677119.503788,0.0005847330086037,False,-2.5250040521641757e-11,True,True
2023-01-03 13:50:00,000016.SH,20230120,-2.665655477904232e-05,1.0,0.0010523911269676,-2.3396020816180857e-06,-0.0036580310617306,3.3534590094794605e-06,success,,18,18,-0.1288846881583115,0.1260075614704782,3645538466.8695664,0.0004226953651399,False,1.6820226916598053e-11,False,True
2023-01-03 14:30:00,000016.SH,20230120,-5.1587400321711855e-05,1.0,0.0075992852041817,-1.20015719564504e-05,-0.0029499298075675,2.268594287633023e-06,success,,17,17,-0.1330092405760331,0.1050758907363757,8369508195.938463,0.0004409523245935,False,4.0334549684747776e-10,False,False
2023-01-03 10:00:00,000016.SH,20230217,-0.0001041835949215,1.0,0.0063130733645188,-1.942887588617084e-05,-0.0068858575509859,1.0942505150535132e-05,success,,18,18,-0.1203992925498164,0.1344929570789735,5361313447.518651,4.3362645894070286e-05,False,-6.571971058494521e-09,True,False
2023-01-03 10:40:00,000016.SH,20230217,-6.98131807814377e-05,1.0,0.0065650786986779,-2.9147625331370595e-05,-0.0071821617652231,1.2606117090823156e-05,success,,18,18,-0.1244260502039638,0.1304661994248263,5538448771.565445,6.771917281881578e-05,False,-9.976651481011027e-10,True,False
2023-01-03 11:20:00,000016.SH,20230217,-8.36379434207428e-05,1.0,4.230995136930215e-05,4.236250271915626e-07,-0.007117601081389,1.2351326071223134e-05,success,,18,18,-0.1247283927176122,0.1301638569111779,5334187275.613649,4.36849763967451e-05,False,-1.6741045121956871e-09,True,False
2023-01-03 13:10:00,000016.SH,20230217,-0.0001413915079796,1.0,0.0004772166935685,-3.389043147420358e-06,-0.0062849839586111,8.901240943438649e-06,success,,17,17,-0.1299053119470528,0.1081798193653559,5047404262.058584,3.357699425718627e-05,False,-8.760348004097387e-09,True,False
